,portfolio_value
2022-12-14,4096170.3505284116
2022-12-15,3946500.4010638045
2022-12-16,3946500.4010638045
2022-12-19,3946500.4010638045
2022-12-20,3946500.4010638045
2022-12-21,3946500.4010638045
2022-12-22,3946500.4010638045
2022-12-23,3946411.3738215445
2022-12-26,3954852.2729571373
2022-12-27,3965516.794165577
2022-12-28,3798532.5125924437
2022-12-29,3798532.5125924437
2022-12-30,3798532.5125924437
2023-01-02,3798474.904111481
2023-01-03,3797788.9466398116
2023-01-04,3800220.8402896463
2023-01-05,3801255.079267413
2023-01-06,3825758.026183869
2023-01-09,4143889.6957478365
2023-01-10,4143889.6957478365
2023-01-11,4143833.667721332
2023-01-12,4143813.01432557
2023-01-13,4142612.4398163417
2023-01-16,4180493.8275774163
2023-01-17,4167791.0618807822
2023-01-18,4462642.497102582
2023-01-19,4462642.497102582
2023-01-20,4462592.341923421
2023-01-23,4461014.216997112
2023-01-24,4466805.339532854
2023-01-25,4470861.835916344
2023-01-27,4733729.179673387
2023-01-30,4733729.179673387
2023-01-31,4733729.179673387
2023-02-01,4733729.179673387
2023-02-02,4733729.179673387
2023-02-03,4733619.933732795
2023-02-06,4771438.056452732
2023-02-07,4780682.897249869
2023-02-08,4757062.2315477105
2023-02-09,4622591.761576552
2023-02-10,4622496.508592297
2023-02-13,4492558.384799816
2023-02-14,4492464.056771643
2023-02-15,4507876.513379087
2023-02-16,4511854.444686226
2023-02-17,4493540.33275819
2023-02-20,4391641.55744099
2023-02-21,4391592.380023922
2023-02-22,4398705.341265475
2023-02-23,4650107.207273591
2023-02-24,4650107.207273591
2023-02-27,4650107.207273591
2023-02-28,4650107.207273591
2023-03-01,4650107.207273591
2023-03-02,4650043.896117925
2023-03-03,4649838.155514934
2023-03-06,4650507.981629734
2023-03-08,4650700.546369739
2023-03-09,5043427.631576635
2023-03-10,5043427.631576635
2023-03-13,5043427.631576635
2023-03-14,5043427.631576635
2023-03-15,5043427.631576635
2023-03-16,5043378.05289759
2023-03-17,5061440.535005785
2023-03-20,5065690.890752832
2023-03-21,5062403.909820095
2023-03-22,5062802.516112337
2023-03-23,5316865.845583963
2023-03-24,5316756.207213133
2023-03-27,5343661.883527387
2023-03-28,5355298.039408049
2023-03-29,5364452.935950874
2023-03-31,5225613.847194127
2023-04-03,5224025.905126797
2023-04-05,5223315.251731172
2023-04-06,5226389.34391388
2023-04-10,5581969.849991517
2023-04-11,5581969.849991517
2023-04-12,5581969.849991517
2023-04-13,5581969.849991517
2023-04-17,5581890.497557098
2023-04-18,5424991.737575664
2023-04-19,5424991.737575664
2023-04-20,5424991.737575664
2023-04-21,5424991.737575664
2023-04-24,5424991.737575664
2023-04-25,5424991.737575664
2023-04-26,5424991.737575664
2023-04-27,5424991.737575664
2023-04-28,5424991.737575664
2023-05-02,5424991.737575664
2023-05-03,5424991.737575664
2023-05-04,5424905.182344007
2023-05-05,5441981.989628234
2023-05-08,5442714.49118563
